,SNo,Date,RegionCode,RegionName,ProvinceCode,ProvinceName,ProvinceAbbreviation,Latitude,Longitude,TotalPositiveCases
6019,6019,2020-04-11T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,441
6018,6018,2020-04-11T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,869
6017,6017,2020-04-11T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,592
32602,32602,2020-10-17T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,1211
33496,33496,2020-10-23T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,1761
30964,30964,2020-10-06T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,864
7552,7552,2020-04-23T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,241
29175,29175,2020-09-24T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,606
29176,29176,2020-09-24T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,788
29177,29177,2020-09-24T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1827
29178,29178,2020-09-24T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1011
8963,8963,2020-05-04T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,766
8962,8962,2020-05-04T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1351
8961,8961,2020-05-04T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,641
8960,8960,2020-05-04T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,242
18299,18299,2020-07-13T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,633
29324,29324,2020-09-25T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,616
29325,29325,2020-09-25T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,808
29326,29326,2020-09-25T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1838
29327,29327,2020-09-25T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1019
8835,8835,2020-05-03T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,765
8834,8834,2020-05-03T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1347
8833,8833,2020-05-03T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,641
8832,8832,2020-05-03T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,243
29473,29473,2020-09-26T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,617
29474,29474,2020-09-26T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,809
29475,29475,2020-09-26T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1845
29476,29476,2020-09-26T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1026
8707,8707,2020-05-02T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,764
8706,8706,2020-05-02T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1316
8705,8705,2020-05-02T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,641
8704,8704,2020-05-02T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,243
29622,29622,2020-09-27T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,624
29623,29623,2020-09-27T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,813
29624,29624,2020-09-27T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1865
29625,29625,2020-09-27T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1037
29029,29029,2020-09-23T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1007
8579,8579,2020-05-01T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,760
9088,9088,2020-05-05T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,242
9090,9090,2020-05-05T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1375
28433,28433,2020-09-19T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,979
9475,9475,2020-05-08T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,769
9474,9474,2020-05-08T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1423
9473,9473,2020-05-08T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,643
9472,9472,2020-05-08T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,243
28579,28579,2020-09-20T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,584
28580,28580,2020-09-20T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,761
28581,28581,2020-09-20T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1780
28582,28582,2020-09-20T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,979
9347,9347,2020-05-07T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,767
9346,9346,2020-05-07T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1421
9345,9345,2020-05-07T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,641
9344,9344,2020-05-07T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,243
28728,28728,2020-09-21T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,595
28729,28729,2020-09-21T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,778
28730,28730,2020-09-21T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1805
28731,28731,2020-09-21T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,993
9219,9219,2020-05-06T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,764
9218,9218,2020-05-06T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1400
9217,9217,2020-05-06T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,641
9216,9216,2020-05-06T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,242
28877,28877,2020-09-22T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,596
28878,28878,2020-09-22T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,783
28879,28879,2020-09-22T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1811
28880,28880,2020-09-22T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,998
29026,29026,2020-09-23T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,600
29027,29027,2020-09-23T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,787
29028,29028,2020-09-23T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1820
9091,9091,2020-05-05T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,767
9089,9089,2020-05-05T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,641
8578,8578,2020-05-01T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1307
8577,8577,2020-05-01T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,638
8576,8576,2020-05-01T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,243
30369,30369,2020-10-02T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1912
30370,30370,2020-10-02T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1067
7939,7939,2020-04-26T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,723
7938,7938,2020-04-26T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1260
7937,7937,2020-04-26T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,635
7936,7936,2020-04-26T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,241
30516,30516,2020-10-03T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,657
